"What is the definition of pathogenicity?","什么是致病性？<br>The ability of a pathogen to cause disease.<br>病原体引起疾病的能力。","病源与免疫 感染与发病机制 总览 问答题"
"What is the definition of virulence?","什么是毒力？<br>The degree of pathogenicity of a pathogen.<br>致病性的强弱程度。","病源与免疫 感染与发病机制 总览 问答题"
"What is the human microbiota?","什么是人体微生物群？<br>It refers to the community of viruses (virota), bacteria (bacteriota), archaea (archaeaota), and fungi (mycobiota) that coexist peacefully with the host in a healthy individual, also known as an 'accessory organ'.<br>指病毒群、细菌群、古菌群、真菌群，在健康个体中与宿主和平共处，被称为“辅助器官”。","病源与免疫 感染与发病机制 人体微生物群与微生物组 问答题"
"What is the human microbiome?","什么是人体微生物组？<br>It is the collection of all genes and functions of the microbial community, including the virome, bacteriome, archaeome, and mycobiome.<br>指微生物群落全部基因与功能的总体，包括病毒组、细菌组、古菌组、真菌组。","病源与免疫 感染与发病机制 人体微生物群与微生物组 问答题"
"What is an opportunistic pathogen?","什么是机会致病菌？<br>A pathogen that causes disease only in individuals who are immunosuppressed or debilitated.<br>仅在免疫抑制或体质衰弱人群中致病的病原体。","病源与免疫 感染与发病机制 机会致病菌 问答题"
"Distinguish between colonization and disease.","区分定植与疾病。<br>Colonization is the presence of microorganisms that do not interfere with normal body functions and can be transient or permanent. Disease occurs when the interaction between a microbe and the host leads to tissue damage, resulting from microbial virulence factors and/or the host's immune response.<br>定植是微生物存在但不干扰机体正常功能，可短期或长期存在。疾病是微生物与宿主相互作用导致组织损伤，损伤来自微生物毒力因子和/或宿主免疫反应。","病源与免疫 感染与发病机制 定植vs疾病 问答题"
"What are the four classic Koch's postulates?","经典科赫法则的四条准则是什么？<br>1. Association: The microorganism must be found in all cases of the disease but should be absent from healthy individuals. 2. Isolation & Pure Culture: The microorganism must be isolated from a diseased host and grown in pure culture. 3. Causation / Reproduction of disease: The cultured microorganism should cause the same disease when introduced into a healthy, susceptible animal. 4. Re-isolation / Recovery: The same microorganism must be re-isolated from the inoculated, diseased experimental host.<br>1. 病例必在：患者组织中总能发现该微生物，健康者缺乏。2. 分离纯培养：自患者分离并在实验室纯培养。3. 接种复制疾病：将纯培养物接种到易感健康动物出现同样疾病。4. 再分离同一菌：自实验动物病灶再次分离到同一微生物。","病源与免疫 感染与发病机制 科赫法则 问答题"
"What are the principles of Molecular Koch's Postulates?","分子科赫法则的原则是什么？<br>A. Association with virulence: The virulence gene should be present or expressed in pathogenic strains. B. Non-pathogenic control: Non-pathogenic strains should lack the gene. C. KO/LOF → loss of pathogenic phenotype: Knocking out or inactivating the gene should lead to a loss or reduction in virulence. D. Complementation/GOF: Introducing or restoring the gene in a non-pathogenic or knockout strain should confer or restore the pathogenic phenotype.<br>A. 致病株有该基因：病原株携带/表达该基因。B. 非致病对照株：本来不含该基因不致病。C. 敲除→失去致病表型：基因敲除/失活后，毒力下降或丧失。D. 补回/转入→获得或恢复致病表型：给非致病株导入或给敲除株补回该基因获得/恢复毒力。","病源与免疫 感染与发病机制 科赫法则 问答题"
"Compare and contrast exotoxins and endotoxins.","比较外毒素和内毒素的异同。<br>Source: Exotoxins are proteins secreted by living Gram-positive or Gram-negative bacteria, while endotoxins are the Lipid A component of LPS released when Gram-negative bacteria lyse. Chemical nature: Exotoxins are polypeptides; endotoxins are lipopolysaccharides. Heat stability: Most exotoxins are heat-labile, whereas endotoxins are heat-stable. Antigenicity: Exotoxins are highly antigenic and can be converted to toxoids; endotoxins are weakly antigenic. Pathogenesis: Exotoxins are highly toxic with tissue specificity; endotoxins have moderate toxicity and lack tissue specificity. Genetics: Exotoxin genes are often on extrachromosomal elements like plasmids, while endotoxin genes are chromosomal.<br>来源：外毒素是革兰阳性/阴性活菌分泌的蛋白，内毒素是革兰阴性菌裂解时释放的LPS的脂质A。化学性质：外毒素是多肽，内毒素是脂多糖。热稳定性：外毒素多不耐热，内毒素耐热。抗原性：外毒素抗原性强可制成类毒素，内毒素抗原性弱。致病机制：外毒素高毒性且有组织特异性，内毒素中等毒性无组织特异性。遗传性：外毒素编码于染色体外基因（如质粒），内毒素编码于染色体基因。","病源与免疫 感染与发病机制 细菌毒素 问答题"
"Describe the typical 6-step process of invasive fungal infection.","描述侵袭性真菌感染的典型6步流程。<br>1. Inhalation of spores/conidia. 2. Entry into the alveoli. 3. Activation of the first line of defense (innate immunity). 4. Exhaustion of phagocytes, leading to progression of pulmonary nodules/pneumonia. 5. Engulfment by macrophages or encapsulation within granulomas. 6. Parasitism within macrophages and dissemination through the bloodstream, potentially crossing the blood-brain barrier for systemic invasion.<br>1. 吸入孢子/分生孢子。2. 进入肺泡。3. 激活第一道防线（先天免疫）。4. 吞噬细胞耗竭，导致肺结节/肺炎进展。5. 巨噬细胞吞噬或肉芽肿包裹。6. 真菌寄生于巨噬细胞并随血流播散，甚至跨越血脑屏障进行系统性侵犯。","病源与免疫 感染与发病机制 真菌致病机制 问答题"
"What are the definitions of bacteremia, septicemia, toxemia, endotoxemia, and pyaemia?","菌血症、败血症、毒血症、内毒素血症和脓毒血症的定义是什么？<br>Bacteremia: Presence of bacteria in the blood without multiplication. Septicemia: Bacteria and their toxins circulate and multiply in the blood. Toxemia: Presence of exotoxins in the blood. Endotoxemia: Presence of endotoxins in the blood. Pyaemia: Septic emboli lodge in multiple organs, causing multiple small abscesses.<br>菌血症：血中有细菌存在，不繁殖。败血症：细菌及其毒素在血中循环并繁殖。毒血症：外毒素进入血液。内毒素血症：内毒素进入血液。脓毒血症/脓毒败血症：脓毒性栓子滞留多器官，导致多发性小脓肿。","病源与免疫 感染与发病机制 感染的类型与临床分类 问答题"
"Compare local and systemic acute viral infections.","比较局部和全身性急性病毒感染。<br>Site of pathology: Local is at the portal of entry, Systemic is at a distant site. Incubation period: Local is relatively short, Systemic is relatively long. Viremia: Absent in Local, Present in Systemic. Duration of immunity: Variable and possibly short for Local, usually lifelong for Systemic. Role of sIgA in resistance: Usually important for Local, usually not important for Systemic.<br>病理部位：局部感染在入口部位，全身感染在远隔部位。潜伏期：局部感染相对较短，全身感染相对较长。病毒血症：局部感染无，全身感染有。免疫持续时间：局部感染可变、可能较短，全身感染通常终身。分泌型IgA在抵抗中的作用：局部感染通常很重要，全身感染通常不重要。","病源与免疫 感染与发病机制 感染的类型与临床分类 问答题"
"Distinguish between latent, chronic, and slow virus infections.","区分潜伏感染、慢性感染和慢病毒感染。<br>Latent infection: The virus persists in a 'hidden' form without producing infectious particles, but can be reactivated under certain conditions. Chronic infection: The virus is not cleared after an acute infection and replicates intermittently, with low levels of the virus being detectable over a long period. Slow virus infection: Characterized by a long incubation period (months to years), initially asymptomatic, followed by a chronic, progressive, and often fatal disease.<br>潜伏感染：病毒以“隐藏形式”长期存在，不产生具有传染性的病毒；特定条件下激活复燃。慢性感染：急性感染后未清除，间歇性复制与排毒，可长期低水平检测到。慢病毒/迟发感染：潜伏期长（月-年），起初无症状，后出现慢性、进行性、最终常致命的疾病。","病源与免疫 感染与发病机制 感染的类型与临床分类 问答题"
"What are the limitations of Molecular Koch's Postulates?","分子科赫法则的局限性是什么？<br>The limitations include genetic redundancy (knocking out one gene may not affect virulence if others compensate), context-dependent gene expression (the gene is only expressed under specific host conditions), horizontal gene transfer (virulence genes can be transferred between bacteria), and challenges in translating findings from animal models to humans.<br>局限性包括：多基因冗余（敲除一个基因，其他功能相似的基因仍可维持毒力）、表达依赖环境/宿主（毒力基因仅在特定宿主条件下才表达）、基因转移（毒力基因可以在细菌间水平转移）以及模型外推性（动物模型的研究结果难以完全适用于人类）。","病源与免疫 感染与发病机制 科赫法则"
"How do bacterial metabolic byproducts cause tissue damage?","细菌的代谢副产物如何导致组织损伤？<br>Bacteria can produce acids and gases as byproducts of fermentation. The accumulation of these substances can directly damage host tissues.<br>细菌在发酵过程中产生的酸和气体，这些代谢副产物的累积可直接对宿主组织造成损伤。","病源与免疫 感染与发病机制 细菌致病机制"
"What are the two main outcomes of immunopathogenesis in bacterial infections?","细菌感染中免疫致病的两种主要结局是什么？<br>1. A limited and controlled response, which is protective and leads to symptoms like fever and general malaise. 2. A systemic and uncontrolled response, which can lead to life-threatening conditions such as sepsis and meningitis.<br>1. 有限且受控的反应：产生保护性抗菌反应，表现为发热、全身不适等。 2. 系统性失控反应：导致脓毒症、脑膜炎等危及生命的严重病症。","病源与免疫 感染与发病机制 免疫致病"
"What are the primary mechanisms of virus-induced immunopathology?","病毒诱导的免疫病理主要机制有哪些？<br>Mechanisms include: antibody-mediated damage (e.g., deposition of antigen-antibody complexes), cell-mediated damage (e.g., T-cell and inflammatory cell injury), immunosuppression, induction of autoimmunity, and the pathological effects of inflammatory cytokines.<br>主要机制包括：抗体介导的损伤（如抗原-抗体复合物沉积）、细胞介导的损伤（T细胞/炎症损伤）、免疫抑制与自身免疫的诱导，以及炎症细胞因子的病理效应。","病源与免疫 感染与发病机制 病毒致病机制"
"Which type of immunity is primarily responsible for combating extracellular versus intracellular viruses?","哪种免疫主要负责对抗细胞外病毒和细胞内病毒？<br>Humoral immunity is primarily effective against extracellular viruses, while cell-mediated immunity is crucial for eliminating intracellular viruses.<br>体液免疫主要对抗细胞外病毒，而细胞免疫对于清除细胞内病毒至关重要。","病源与免疫 感染与发病机制 病毒致病机制"
"What are the main sources of infection?","传染源主要包括哪些？<br>The main sources of infection are patients, carriers (who are asymptomatic but can transmit the pathogen), and infected animals or intermediate hosts.<br>传染源主要包括：患者、携带者（无症状但能传播病原体），以及被感染的动物或中间宿主。","病源与免疫 感染与发病机制 感染的类型与临床分类"
"What are the primary routes for the dissemination of a systemic infection?","系统性感染的主要播散途径有哪些？<br>The primary routes are dissemination through the blood and lymphatic systems, and dissemination along natural pathways, such as nerves.<br>主要途径包括：经血液/淋巴系统播散，以及经自然通道（如神经）播散。","病源与免疫 感染与发病机制 感染的类型与临床分类"
